ay_start,ay_end,sector,sector_encoded,region,region_encoded,shs_available,total_elementary,total_hs,total_shs,total_students,prev_total_elementary,prev_total_hs,prev_total_shs,prev_total_students
2018,2019,Public,0,Region VI - Western Visayas,11,1,1075565,574057,160311,1809933,1109513.0,526919.0,147356.0,1783788.0
2019,2020,Public,0,Region VI - Western Visayas,11,1,1036793,585986,176521,1799300,1075565.0,574057.0,160311.0,1809933.0
2020,2021,Public,0,Region VI - Western Visayas,11,1,1037049,609300,200555,1846904,1036793.0,585986.0,176521.0,1799300.0
2010,2011,SUC-LUC,2,Region VI - Western Visayas,11,0,1527,4219,0,5746,,,,
2011,2012,SUC-LUC,2,Region VI - Western Visayas,11,0,2325,4723,0,7048,1527.0,4219.0,0.0,5746.0
2012,2013,SUC-LUC,2,Region VI - Western Visayas,11,0,2564,5502,0,8066,2325.0,4723.0,0.0,7048.0
2013,2014,SUC-LUC,2,Region VI - Western Visayas,11,0,1181,2585,0,3766,2564.0,5502.0,0.0,8066.0
2014,2015,SUC-LUC,2,Region VI - Western Visayas,11,0,732,2133,0,2865,1181.0,2585.0,0.0,3766.0
2015,2016,SUC-LUC,2,Region VI - Western Visayas,11,0,109,1488,0,1597,732.0,2133.0,0.0,2865.0
2016,2017,SUC-LUC,2,Region VI - Western Visayas,11,1,731,3079,1601,5411,109.0,1488.0,0.0,1597.0
2017,2018,SUC-LUC,2,Region VI - Western Visayas,11,1,731,2814,4836,8381,731.0,3079.0,1601.0,5411.0
2018,2019,SUC-LUC,2,Region VI - Western Visayas,11,1,774,2699,4679,8152,731.0,2814.0,4836.0,8381.0
2019,2020,SUC-LUC,2,Region VI - Western Visayas,11,1,672,2442,1938,5052,774.0,2699.0,4679.0,8152.0
2020,2021,SUC-LUC,2,Region VI - Western Visayas,11,1,688,2325,940,3953,672.0,2442.0,1938.0,5052.0
2010,2011,Private,1,Region VII - Central Visayas,12,0,103903,111226,0,215129,,,,
2011,2012,Private,1,Region VII - Central Visayas,12,0,105575,113092,0,218667,103903.0,111226.0,0.0,215129.0
2012,2013,Private,1,Region VII - Central Visayas,12,0,107000,108491,0,215491,105575.0,113092.0,0.0,218667.0
2013,2014,Private,1,Region VII - Central Visayas,12,0,107986,103950,0,211936,107000.0,108491.0,0.0,215491.0
2014,2015,Private,1,Region VII - Central Visayas,12,0,99863,103950,0,203813,107986.0,103950.0,0.0,211936.0
2015,2016,Private,1,Region VII - Central Visayas,12,0,103191,105793,0,208984,99863.0,103950.0,0.0,203813.0
2016,2017,Private,1,Region VII - Central Visayas,12,1,93539,103542,47777,244858,103191.0,105793.0,0.0,208984.0
2017,2018,Private,1,Region VII - Central Visayas,12,1,96405,106541,92695,295641,93539.0,103542.0,47777.0,244858.0
2018,2019,Private,1,Region VII - Central Visayas,12,1,101870,116111,101304,319285,96405.0,106541.0,92695.0,295641.0
2019,2020,Private,1,Region VII - Central Visayas,12,1,101004,115587,103474,320065,101870.0,116111.0,101304.0,319285.0
2020,2021,Private,1,Region VII - Central Visayas,12,1,63743,99497,89691,252931,101004.0,115587.0,103474.0,320065.0
2010,2011,Public,0,Region VII - Central Visayas,12,0,1098109,412049,0,1510158,,,,
2011,2012,Public,0,Region VII - Central Visayas,12,0,1150513,415315,0,1565828,1098109.0,412049.0,0.0,1510158.0
2012,2013,Public,0,Region VII - Central Visayas,12,0,1167896,427667,0,1595563,1150513.0,415315.0,0.0,1565828.0
2013,2014,Public,0,Region VII - Central Visayas,12,0,1180443,441264,0,1621707,1167896.0,427667.0,0.0,1595563.0
2014,2015,Public,0,Region VII - Central Visayas,12,0,1177715,456528,0,1634243,1180443.0,441264.0,0.0,1621707.0
2015,2016,Public,0,Region VII - Central Visayas,12,0,1158734,467744,0,1626478,1177715.0,456528.0,0.0,1634243.0
2016,2017,Public,0,Region VII - Central Visayas,12,1,1120882,482586,57360,1660828,1158734.0,467744.0,0.0,1626478.0
2017,2018,Public,0,Region VII - Central Visayas,12,1,1102318,500753,118073,1721144,1120882.0,482586.0,57360.0,1660828.0
2018,2019,Public,0,Region VII - Central Visayas,12,1,1074158,548666,135113,1757937,1102318.0,500753.0,118073.0,1721144.0
2019,2020,Public,0,Region VII - Central Visayas,12,1,1050085,555366,151009,1756460,1074158.0,548666.0,135113.0,1757937.0
2020,2021,Public,0,Region VII - Central Visayas,12,1,1040762,545651,166333,1752746,1050085.0,555366.0,151009.0,1756460.0
2010,2011,SUC-LUC,2,Region VII - Central Visayas,12,0,818,1952,0,2770,,,,
2011,2012,SUC-LUC,2,Region VII - Central Visayas,12,0,981,1196,0,2177,818.0,1952.0,0.0,2770.0
2012,2013,SUC-LUC,2,Region VII - Central Visayas,12,0,885,1155,0,2040,981.0,1196.0,0.0,2177.0
2013,2014,SUC-LUC,2,Region VII - Central Visayas,12,0,758,1597,0,2355,885.0,1155.0,0.0,2040.0
2014,2015,SUC-LUC,2,Region VII - Central Visayas,12,0,684,965,0,1649,758.0,1597.0,0.0,2355.0
2015,2016,SUC-LUC,2,Region VII - Central Visayas,12,0,422,843,0,1265,684.0,965.0,0.0,1649.0
2016,2017,SUC-LUC,2,Region VII - Central Visayas,12,1,615,961,2313,3889,422.0,843.0,0.0,1265.0
2017,2018,SUC-LUC,2,Region VII - Central Visayas,12,1,615,1063,3631,5309,615.0,961.0,2313.0,3889.0
2018,2019,SUC-LUC,2,Region VII - Central Visayas,12,1,569,974,3261,4804,615.0,1063.0,3631.0,5309.0
2019,2020,SUC-LUC,2,Region VII - Central Visayas,12,1,371,706,1642,2719,569.0,974.0,3261.0,4804.0
2020,2021,SUC-LUC,2,Region VII - Central Visayas,12,1,2,539,923,1464,371.0,706.0,1642.0,2719.0
2010,2011,Private,1,Region VIII - Eastern Visayas,13,0,26152,36482,0,62634,,,,
