"ML-Ready Dataset — For Use with Linear Regression, GBT, and SVR",,,,,,,,,,
"AY Start
(Feature)","AY End
(Feature)","Sector
(Label)","Sector
Encoded","Region
(Label)","Region
Encoded","SHS
Available","Total
Elementary","Total
High School","Total
Senior HS","Total
Students (TARGET)"
2013,2014,Public,0,CARAGA - CARAGA,2,0,"460,945","165,143",0,"626,088"
2013,2014,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"695,979","162,266",0,"858,245"
2013,2014,Public,0,CAR - Cordillera Administrative Region,1,0,"248,074","90,310",0,"338,384"
2013,2014,Public,0,NCR - National Capital Region,3,0,"1,390,356","690,113",0,"2,080,469"
2014,2015,Public,0,Region I - Ilocos Region,4,0,"724,301","315,405",0,"1,039,706"
2014,2015,Public,0,Region II - Cagayan Valley,5,0,"508,447","197,210",0,"705,657"
2014,2015,Public,0,Region III - Central Luzon,6,0,"1,527,807","638,321",0,"2,166,128"
2014,2015,Public,0,Region IV-A - CALABARZON,7,0,"1,859,473","777,554",0,"2,637,027"
2014,2015,Public,0,Region IV-B - MIMAROPA,8,0,"537,239","206,565",0,"743,804"
2014,2015,Public,0,Region V - Bicol Region,10,0,"1,098,314","428,206",0,"1,526,520"
2014,2015,Public,0,Region VI - Western Visayas,11,0,"1,194,262","488,379",0,"1,682,641"
2014,2015,Public,0,Region VII - Central Visayas,12,0,"1,177,715","456,528",0,"1,634,243"
2014,2015,Public,0,Region VIII - Eastern Visayas,13,0,"784,027","316,783",0,"1,100,810"
2014,2015,Public,0,Region IX - Zamboanga Peninsula,9,0,"654,784","221,941",0,"876,725"
2014,2015,Public,0,Region X - Northern Mindanao,14,0,"760,080","247,217",0,"1,007,297"
2014,2015,Public,0,Region XI - Davao Region,15,0,"793,405","273,594",0,"1,066,999"
2014,2015,Public,0,Region XII - Soccsksargen,16,0,"746,858","259,067",0,"1,005,925"
2014,2015,Public,0,CARAGA - CARAGA,2,0,"463,821","173,478",0,"637,299"
2014,2015,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"635,879","148,084",0,"783,963"
2014,2015,Public,0,CAR - Cordillera Administrative Region,1,0,"244,693","92,381",0,"337,074"
2014,2015,Public,0,NCR - National Capital Region,3,0,"1,366,443","685,318",0,"2,051,761"
2015,2016,Public,0,Region I - Ilocos Region,4,0,"708,852","316,691",0,"1,025,543"
2015,2016,Public,0,Region II - Cagayan Valley,5,0,"506,728","200,203",0,"706,931"
2015,2016,Public,0,Region III - Central Luzon,6,0,"1,522,197","650,061",0,"2,172,258"
2015,2016,Public,0,Region IV-A - CALABARZON,7,0,"1,856,868","795,909",0,"2,652,777"
2015,2016,Public,0,Region IV-B - MIMAROPA,8,0,"531,269","211,807",0,"743,076"
2015,2016,Public,0,Region V - Bicol Region,10,0,"1,071,209","437,533",0,"1,508,742"
2015,2016,Public,0,Region VI - Western Visayas,11,0,"1,171,357","492,452",0,"1,663,809"
2015,2016,Public,0,Region VII - Central Visayas,12,0,"1,158,734","467,744",0,"1,626,478"
2015,2016,Public,0,Region VIII - Eastern Visayas,13,0,"766,456","326,152",0,"1,092,608"
2015,2016,Public,0,Region IX - Zamboanga Peninsula,9,0,"638,874","227,762",0,"866,636"
2015,2016,Public,0,Region X - Northern Mindanao,14,0,"758,032","252,698",0,"1,010,730"
2015,2016,Public,0,Region XI - Davao Region,15,0,"791,036","283,756",0,"1,074,792"
2015,2016,Public,0,Region XII - Soccsksargen,16,0,"740,933","265,728",0,"1,006,661"
2015,2016,Public,0,CARAGA - CARAGA,2,0,"461,460","178,122",0,"639,582"
2015,2016,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"594,164","138,821",0,"732,985"
2015,2016,Public,0,CAR - Cordillera Administrative Region,1,0,"239,868","93,953",0,"333,821"
2015,2016,Public,0,NCR - National Capital Region,3,0,"1,334,721","671,545",0,"2,006,266"
2016,2017,Public,0,Region I - Ilocos Region,4,1,"681,650","323,303","51,625","1,056,578"
